A,Analog,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A&P,Administrative And Personnel,Analysis And Production,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-1,"Director Of Manpower, Personnel, And Services (Air Force)",Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A2,Anti Access,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A2C2,Army Airspace Command And Control,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-2,Intelligence Staff Officer (Air Force),Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-3,Operations Directorate (Comaffor Staff),Operations Staff Officer (Air Force),Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-4,Director Of Logistics (Air Force),Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-5,Plans Directorate (Comaffor Staff),Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-6,Communications Staff Officer (Air Force),Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A-7,Director Of Installations And Mission Support (Air Force),Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AA,Assessment Agent,Avenue Of Approach,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AA&E,"Arms, Ammunition, And Explosives",Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAA,Antiaircraft Artillery,Arrival And Assembly Area,Assign Alternate Area,Nodef,Nodef,Nodef,Nodef,tabme
AABB,American Association Of Blood Banks,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AABWS,Amphibious Assault Bulk Water System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAC,Activity Address Code,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AACG,Arrival Airfield Control Group,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AADC,Area Air Defense Commander,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AADP,Area Air Defense Plan,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAEC,Aeromedical Evacuation Control Team,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAFES,Army And Air Force Exchange Service,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAFIF,Automated Air Facility Information File,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAFS,Amphibious Assault Fuel System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAFSF,Amphibious Assault Fuel Supply Facility,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAG,Aeronautical Assignment Group,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAGS,Army Air-Ground System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAI,Air-To-Air Interface,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAM,Air-To-Air Missile,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAMDC,United States Army Air And Missile Defense Command,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAOE,Arrival And Assembly Operations Element,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAOG,Arrival And Assembly Operations Group,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAP,Allied Administrative Publication,Assign Alternate Parent,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAR,After Action Report,After Action Review,Air-To-Air Refueling Area,Nodef,Nodef,Nodef,Nodef,tabme
AAS,Amphibious Assault Ship,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAST,Aeromedical Evacuation Administrative Support Team,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAT,Automatic Analog Test,Aviation Advisory Team,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AATCC,Amphibious Air Traffic Control Center,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAU,Analog Applique Unit,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAV,Amphibious Assault Vehicle,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AAW,Antiair Warfare,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AB,Air Base,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABCA,"American, British, Canadian, Australian, And New Zealand",Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABCS,Army Battle Command System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABD,Airbase Defense,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABFC,Advanced Base Functional Component,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABFDS,Aerial Bulk Fuel Delivery System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABFS,Amphibious Bulk Fuel System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABGD,Air Base Ground Defense,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABIS,Automated Biometric Identification System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABL,Airborne Laser,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABLTS,Amphibious Bulk Liquid Transfer System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABM,Antiballistic Missile,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABN,Airborne,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABNCP,Airborne Command Post,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABO,Air Base Operability,Blood Typing System,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ABP,Air Battle Plan,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
A/C,Aircraft,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AC,Active Component,Alternating Current,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AC2,Airspace Command And Control,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
AC-130,Hercules,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACA,Air Clearance Authority,Airlift Clearance Authority,Airspace Control Authority,Airspace Coordination Area,Nodef,Nodef,Nodef,tabme
ACAA,Automatic Chemical Agent Alarm,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACAPS,Area Communications Electronics Capabilities,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACAT,Aeromedical Evacuation Command Augmentation Team,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACB,Amphibious Construction Battalion,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACC,Air Combat Command,Air Component Commander,Area Coordination Center,Army Contracting Command,Nodef,Nodef,Nodef,tabme
ACCE,Air Component Coordination Element,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACCON,Acoustic Condition,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACCS,Air Command And Control System,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACCSA,Allied Communications And Computer Security Agency,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACD,Automated Cargo Documentation,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACDO,Assistant Command Duty Officer,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACE,Airborne Command Element (Usaf),Air Combat Element (Nato),Allied Command Europe,Aviation Combat Element (Usmc),Nodef,Nodef,Nodef,tabme
ACEOI,Automated Communications-Electronics Operating Instructions,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACF,Air Contingency Force,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACI,Assign Call Inhibit,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACIC,Army Counterintelligence Center,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACINT,Acoustic Intelligence,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACK,Acknowledgement,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACL,Access Control List,Allowable Cabin Load,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACLANT,Allied Command Atlantic,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACLP,Affiliated Contingency Load Planning,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACM,Advanced Conventional Munitions,Advanced Cruise Missile,Air Combat Maneuver,Air Contingency Marine Air-Ground Task Force (Magtf),Airspace Coordinating Measure,Nodef,Nodef,tabme
ACMREQ,Airspace Control Means Request,Airspace Coordination Measures Request,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACN,Assign Commercial Network,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACO,Administrative Contracting Officer,Airspace Control Order,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACOA,Adaptive Course Of Action,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACOC,Area Communications Operations Center,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACOCC,Air Combat Operations Command Center,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
ACOS,Assistant Chief Of Staff,Nodef,Nodef,Nodef,Nodef,Nodef,Nodef,tabme
